epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.33,1.78627,3.04985,1.08926,0.74871,0.66044,0.7376,0.36442,1.67587,1.35677,1.08838,0.000476072,0.000476072,0.000476072
2,682.992,1.74698,1.46399,1.07411,0.85122,0.71622,0.80457,0.42307,1.57638,1.18205,1.04878,0.000933547,0.000933547,0.000933547
3,1047.51,1.72169,1.38319,1.06385,0.85802,0.77744,0.85392,0.45643,1.52608,1.08992,1.03136,0.00137216,0.00137216,0.00137216
4,1422.95,1.69877,1.29408,1.052,0.8802,0.80521,0.8728,0.48268,1.49348,1.00696,1.02005,0.00134412,0.00134412,0.00134412
5,1758.27,1.66699,1.21423,1.03837,0.90306,0.835,0.89809,0.48407,1.52112,0.90865,1.01591,0.00131582,0.00131582,0.00131582
6,2074.53,1.63727,1.14322,1.03143,0.91767,0.85627,0.92079,0.51457,1.47141,0.86644,1.01032,0.00128753,0.00128753,0.00128753
7,2391.19,1.60786,1.06113,1.01894,0.90249,0.8483,0.91539,0.52527,1.47214,0.86382,1.00743,0.00125923,0.00125923,0.00125923
8,2705.02,1.61367,1.03709,1.02021,0.93599,0.86705,0.92659,0.52694,1.45669,0.81507,1.00638,0.00123094,0.00123094,0.00123094
9,3019.4,1.59213,0.9966,1.01677,0.92336,0.87434,0.9304,0.52512,1.45301,0.80474,0.99832,0.00120265,0.00120265,0.00120265
10,3338.2,1.57162,0.96245,1.01302,0.92978,0.87787,0.92804,0.54329,1.42854,0.79665,0.99286,0.00117435,0.00117435,0.00117435
11,3653.85,1.55839,0.93264,1.00592,0.95038,0.88994,0.94033,0.54384,1.42363,0.76356,0.99128,0.00114606,0.00114606,0.00114606
12,3971.79,1.55017,0.90517,1.00307,0.93885,0.8991,0.94353,0.5383,1.462,0.75459,1.00588,0.00111776,0.00111776,0.00111776
